day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
Wednesday,cicflowmeter-orig,nfstream,DoS Slowhttptest,5104,3601,0,1219,284
Wednesday,cicflowmeter-orig,nfstream,DoS slowloris,5725,3763,0,1534,428
Wednesday,cicflowmeter-orig,nfstream,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-orig,zeek,ALL,777036,120333,14669,165999,476035
Wednesday,cicflowmeter-orig,zeek,BENIGN,373895,69151,1233,87033,216478
Wednesday,cicflowmeter-orig,zeek,DoS GoldenEye,10490,4663,73,5676,78
Wednesday,cicflowmeter-orig,zeek,DoS Hulk,381811,42214,10388,70023,259186
Wednesday,cicflowmeter-orig,zeek,DoS Slowhttptest,5104,717,2974,1131,282
Wednesday,cicflowmeter-orig,zeek,DoS slowloris,5725,3588,1,2125,11
Wednesday,cicflowmeter-orig,zeek,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-orig,tranalyzer,ALL,777036,121041,9520,178796,467679
Wednesday,cicflowmeter-orig,tranalyzer,BENIGN,373895,69998,14,92030,211853
Wednesday,cicflowmeter-orig,tranalyzer,DoS GoldenEye,10490,4585,0,5905,0
Wednesday,cicflowmeter-orig,tranalyzer,DoS Hulk,381811,39554,9506,76947,255804
Wednesday,cicflowmeter-orig,tranalyzer,DoS Slowhttptest,5104,3317,0,1776,11
Wednesday,cicflowmeter-orig,tranalyzer,DoS slowloris,5725,3587,0,2127,11
Wednesday,cicflowmeter-orig,tranalyzer,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-orig,cicflowmeter-fixed,ALL,777036,140782,9958,152132,474164
Wednesday,cicflowmeter-orig,cicflowmeter-fixed,BENIGN,373895,86747,427,69602,217119
Wednesday,cicflowmeter-orig,cicflowmeter-fixed,DoS GoldenEye,10490,4726,0,5686,78
Wednesday,cicflowmeter-orig,cicflowmeter-fixed,DoS Hulk,381811,39711,9529,76824,255747
Wednesday,cicflowmeter-orig,cicflowmeter-fixed,DoS Slowhttptest,5104,4478,0,8,618
Wednesday,cicflowmeter-orig,cicflowmeter-fixed,DoS slowloris,5725,5113,0,10,602
Wednesday,cicflowmeter-orig,cicflowmeter-fixed,Heartbleed,11,7,2,2,0
Wednesday,cicflowmeter-orig,argus,ALL,777036,71677,0,561991,143368
Wednesday,cicflowmeter-orig,argus,BENIGN,373895,71669,0,167344,134882
Wednesday,cicflowmeter-orig,argus,DoS GoldenEye,10490,0,0,10490,0
Wednesday,cicflowmeter-orig,argus,DoS Hulk,381811,0,0,373339,8472
