day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
monday-pvt,go-flows,nfstream,BENIGN,2139,2002,0,128,9
monday-pvt,go-flows,zeek,ALL,2139,706,34,106,1293
monday-pvt,go-flows,zeek,BENIGN,2139,706,34,106,1293
monday-pvt,go-flows,tranalyzer,ALL,2139,687,0,206,1246
monday-pvt,go-flows,tranalyzer,BENIGN,2139,687,0,206,1246
monday-pvt,go-flows,cicflowmeter-orig,ALL,2139,75,535,0,1529
monday-pvt,go-flows,cicflowmeter-orig,BENIGN,2139,75,535,0,1529
monday-pvt,go-flows,cicflowmeter-fixed,ALL,2139,667,53,99,1320
monday-pvt,go-flows,cicflowmeter-fixed,BENIGN,2139,667,53,99,1320
monday-pvt,go-flows,argus,ALL,2139,647,0,354,1138
monday-pvt,go-flows,argus,BENIGN,2139,647,0,354,1138
monday-pvt,go-flows,yaf,ALL,2139,1638,26,14,461
monday-pvt,go-flows,yaf,BENIGN,2139,1638,26,14,461
monday-pvt,go-flows,joy,ALL,2139,591,145,56,1347
monday-pvt,go-flows,joy,BENIGN,2139,591,145,56,1347
monday-pvt,yaf,nfstream,ALL,2034,1569,4,111,350
monday-pvt,yaf,nfstream,BENIGN,2034,1569,4,111,350
monday-pvt,yaf,zeek,ALL,2034,685,6,100,1243
monday-pvt,yaf,zeek,BENIGN,2034,685,6,100,1243
monday-pvt,yaf,tranalyzer,ALL,2034,690,0,86,1258
monday-pvt,yaf,tranalyzer,BENIGN,2034,690,0,86,1258
monday-pvt,yaf,cicflowmeter-orig,ALL,2034,72,534,0,1428
monday-pvt,yaf,cicflowmeter-orig,BENIGN,2034,72,534,0,1428
monday-pvt,yaf,cicflowmeter-fixed,ALL,2034,663,53,99,1219
monday-pvt,yaf,cicflowmeter-fixed,BENIGN,2034,663,53,99,1219
monday-pvt,yaf,argus,ALL,2034,647,0,209,1178
monday-pvt,yaf,argus,BENIGN,2034,647,0,209,1178
